序号	公司名	证券代码	报告年份	报告标题	官方来源URL	来源类型	下载时间	本地文件名	文件大小字节	页数	PDF_SHA256	规范化文本指纹	MinerU解析方式	解析状态	输出目录
27	恒生电子	600570.SH	2024	恒生电子2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-04-12/1223072557.PDF	CNINFO	2026-08-31T13:07:15+08:00	第4批次_27_恒生电子.pdf	909409	38	fbe52c9d8235e55e1e7cd1fb08678cfa9f2117b0f6711ce3ed328787a3d0e40a	fd0ed0590ab1a4f0136bd39c2278c89f92a99ec48184f7599b1fc2916bd330af	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_27_恒生电子
28	中远海运特种运输	600428.SH	2024	中远海运特种运输股份有限公司2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-03-28/1222928601.PDF	CNINFO	2026-08-31T13:07:23+08:00	第4批次_28_中远海运特种运输.pdf	172498	4	b24301dc33966c63e39d3b4531fa312aa152311287a056d6ef5d97b8af8cf438	4472a3c6a34eb324da917180bb4315f5283c093c74629909a4ab7076181c302c	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_28_中远海运特种运输
29	格林美	002340.SZ	2024	格林美2024年可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-04-26/1223332830.PDF	CNINFO	2026-08-31T13:07:29+08:00	第4批次_29_格林美.pdf	14641768	70	9cebb345a4a5b0341b1be0e6b2a46b54a5fd0e84e1c860d255c6e98e321c6e2c	049230694c8d90124f46b0e38634b8feb0efa0f9e4542722bbf547ee9e81b898	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_29_格林美
30	振华新材	688707.SH	2024	振华新材2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-04-26/1223316911.PDF	CNINFO	2026-08-31T13:08:07+08:00	第4批次_30_振华新材.pdf	8305571	50	25181947395cfe9da4091ff9ea66e531a28544fd907ccd98429a601364bfab9f	ff88bf8a2a6afc6cb451e848f601981fc0f5fea591ec50c09152690e5a37ea20	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_30_振华新材
31	华瑞股份	300626.SZ	2024	华瑞股份2024年度社会责任报告	https://static.cninfo.com.cn/finalpage/2025-04-30/1223411304.PDF	CNINFO	2026-08-31T13:08:40+08:00	第4批次_31_华瑞股份.pdf	1334237	22	71ef56c561c4b71b31279d8445e7aa6b2a2e4038030037bb602a2ef83e350e71	283a67cd363bdad82f4db86e89ae27301e092d7ff32302cae288e433c916247d	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_31_华瑞股份
32	寒武纪	688256.SH	2024	寒武纪2024年度环境、社会和公司治理报告	https://static.cninfo.com.cn/finalpage/2025-04-19/1223155699.PDF	CNINFO	2026-08-31T13:08:55+08:00	第4批次_32_寒武纪.pdf	9627965	44	b16aabaa08861b9933b798d11de76870989777426def4d4e01ba4602b13fd29b	1a0291a668c5c0ae5f04ea34ebc3336ba7038eb6d3b0ff4e9f29d76ce7121ee3	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_32_寒武纪
33	潞安环能	601699.SH	2024	潞安环能2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-04-29/1223390438.PDF	CNINFO	2026-08-31T13:09:25+08:00	第4批次_33_潞安环能.pdf	12864413	34	b318fed535526a25c86ebd65821c258d08fe1073fb4cb1de0835bc8fbf51e346	c90f12803551db727981b57ed130c520f384986d1fd341ac2bfe0d3c80b8e09e	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_33_潞安环能
34	合盛硅业	603260.SH	2024	合盛硅业2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-04-24/1223239277.PDF	CNINFO	2026-08-31T13:10:08+08:00	第4批次_34_合盛硅业.pdf	12166937	44	0477e08ebe2ef165f50f871abdbb56593c0bda352485c3004599b5f74365c525	0ec36424216c2be25d34e379124ded1c2bb12c8138f222bbc60656f4c63e3793	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_34_合盛硅业
35	海南航空	600221.SH	2024	海南航空控股2024年可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-04-30/1223419509.PDF	CNINFO	2026-08-31T13:10:50+08:00	第4批次_35_海南航空.pdf	9074038	54	a6999bb809393ec62a9528d90ecfa036b46f1d173fe20fe8ae2d0decbf9b9bb3	060887113b2cf9317016a2adc63332682ed610ddbd36e66a67cdb93b1f2fb602	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_35_海南航空
36	华阳股份	600348.SH	2024	华阳股份2024年度环境、社会及公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-26/1223325381.PDF	CNINFO	2026-08-31T13:11:19+08:00	第4批次_36_华阳股份.pdf	20167502	47	9ce8734a1d9b7b3027d3004a9e59e121085af2774449eb8477a334f80dac1fb4	f43bffb02a0c66dec1214e2c9bea7243b686897ab8c9a3f761017eb75d1ac0b7	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_36_华阳股份
37	中海油能源发展	600968.SH	2024	中海油能源发展2024年可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-04-10/1223047058.PDF	CNINFO	2026-08-31T13:12:37+08:00	第4批次_37_中海油能源发展.pdf	26572624	63	0554fb2d93b31ec28e6939766a691c820a5cf309a370bbe34ef39af5baf596ac	a859c2751022b4baafb2423dfd60a1c06744cf90a156031d1bc1781835e72072	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_37_中海油能源发展
38	宝钢股份	600019.SH	2024	宝山钢铁2024可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-04-26/1223329096.PDF	CNINFO	2026-08-31T13:13:40+08:00	第4批次_38_宝钢股份.pdf	42195727	90	ddaab24226ef441abc5acb6af96ea036e7e016bc1bc41bd12bc9dcb14ca687e4	6135557a5a5714075226d90c5b4ed1765d2c8760c36fc6f469e9faedb7765deb	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_38_宝钢股份
39	海尔生物	688139.SH	2024	海尔生物2024可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-03-29/1222951707.PDF	CNINFO	2026-08-31T13:14:36+08:00	第4批次_39_海尔生物.pdf	23969263	65	c2154671ec0ba5cf41027e1f1840ef24dec8ebe32fcf2cb77cf802afee57cdab	4e0667ee66c2eb681110048a4bdf91611caa270e589074d508b0a4f83ea4ca3f	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_39_海尔生物
40	中信博	688408.SH	2024	中信博2024年度环境、社会及公司治理（ESG）报告	https://dataclouds.cninfo.com.cn/shgonggao/2025/2025-04-30/6ebd104e25e511f08686fa163e957f7a.pdf	CNINFO	2026-08-31T13:16:36+08:00	第4批次_40_中信博.pdf	62065029	95	a2265f45047e2db3240e48a85569b53d806d02ef3c43cb6c3d81dae4cd4104ae	d4290263b5e567b1e4122574975f2936e745099b0fb15b2df99b91a21c42734c	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_40_中信博
41	步科股份	688160.SH	2024	步科股份2024年度环境、社会与公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-25/1223281749.PDF	CNINFO	2026-08-31T13:18:04+08:00	第4批次_41_步科股份.pdf	4992360	51	ded8bc31b8605563e0122cfc95e4772fba9ab27fba499194a1a8b1316106eb20	2f0112593ce9070faedd40e7695456b76f9b52ffbb107a24f0ad75028beb0409	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_41_步科股份
42	中国银行	601988.SH	2024	中国银行2024年度社会责任报告	https://www.boc.cn/aboutboc/boccsr/202503/P020250326687626261152.pdf	公司官网	2026-08-31T13:18:18+08:00	第4批次_42_中国银行.pdf	14235365	73	1b77419c9ccf7036e69722b357a435de4981e85b45bbcb760f6ffe3831faf3ae	87dd9c271a16052c8663aece8664dbeada547e2c7338b6ae04209ec657a2c69f	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_42_中国银行
43	招商银行	600036.SH	2024	招商银行2024年度可持续发展报告	https://s3gw.cmbimg.com/lb5001-cmbweb-prd-1255000097/cmbcms/20250327/7b625cd4-1e12-4244-9512-5a9895dc84e7.pdf	公司官网	2026-08-31T13:18:20+08:00	第4批次_43_招商银行.pdf	8992745	149	772400c9e9dd5c1413f1bab708cc00d9279a3bbe264fea317f2405a8a269479b	3fc0d9358b128b72260b567eb200889e2a62fb8b3fab319c3de4189baf4d78cc	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_43_招商银行
44	中国光大银行	601818.SH	2024	中国光大银行2024年度可持续发展报告	https://static.cebbank.com/site/resource/cms/article/256479545/335485056/2025040216393373044.pdf	公司官网	2026-08-31T13:18:23+08:00	第4批次_44_中国光大银行.pdf	17980194	67	9c2c92681f97c75e181ae35c30a182cf4c786108127bd58e1412cf3ee73312d1	121cd69c447935866bd2eeb58bbf83276cd39495df1f5aae1f1e867ebc5d0570	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_44_中国光大银行
45	中国移动	600941.SH	2024	中国移动2024年度可持续发展报告	https://www.chinamobileltd.com/sc/ir/reports/sd2024_ashare.pdf	公司官网	2026-08-31T13:18:38+08:00	第4批次_45_中国移动.pdf	19211203	122	be39f9811099e337003bc30ea5248ce3cfdafb7e439cf7c9b68c79db7977c2c1	139ccb9a89562c6a4c233be9a74ad4115858a1ad737817a62d6e49b85d0a34fd	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_45_中国移动
46	中国联通	600050.SH	2024	中国联通2024年度可持续发展报告	https://www.chinaunicom.com.hk/tc/esg/reports/csr2024.pdf	公司官网	2026-08-31T13:18:45+08:00	第4批次_46_中国联通.pdf	12170319	100	df8d256903a544488bad83cc6ba8640c667c40b46876f5656e664f1622fd9055	63bfbfee3641177bcb23c24c88ae0fd28f93a298e63b5d46002415509c59eb1d	pipeline-ocr	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_46_中国联通
47	中国建筑	601668.SH	2024	中国建筑2024年度环境社会治理可持续发展报告	https://www.cscec.com/tzzgxnew/tzgg_new/2025/202504/P020250416521921577244.pdf	公司官网	2026-08-31T13:19:01+08:00	第4批次_47_中国建筑.pdf	7255756	50	8c9156c3707d92810197a44d9b828889d6a80663e30e97642ee66413f48a4df5	7fd9b78088b47cc0269bfbed812141f46d9ddae8d247c01bf5c14851415363aa	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_47_中国建筑
48	长城汽车	601633.SH	2024	长城汽车2024年度可持续发展报告	https://res.gwm.com.cn/GwmCn/files/social/GWM_2024.pdf	公司官网	2026-08-31T13:19:03+08:00	第4批次_48_长城汽车.pdf	11903297	107	65b953e65b723c06e6da29a84fab011698193ca178021b4ab06fab4a33fb7a7d	bd6ad26492c97e429e59257e45d8c2c4cfd19a9c56e922e18fd2eb23913dc62c	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_48_长城汽车
49	宁德时代	300750.SZ	2024	宁德时代2024年度可持续发展报告	https://www.catl.com/uploads/1/file/public/202503/20250328110514_yhfqo19im4.pdf	公司官网	2026-08-31T13:19:19+08:00	第4批次_49_宁德时代.pdf	20639434	83	454d92e988f06c61dbd15064f76d2a53320201845ab169873b97712c2db76e9a	b2b7c1df39439eaf03a0192895ac15dbe9ca8284c7dbb852f692c5bbb1e605ca	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_49_宁德时代
50	隆基绿能	601012.SH	2024	隆基绿能2024年度可持续发展报告	https://static.longi.com/2024_cef84c9a76.pdf	公司官网	2026-08-31T13:19:29+08:00	第4批次_50_隆基绿能.pdf	28939368	163	592a436edde82326822147f636788166bd7c65d3f32168e07edca9b4caa155d2	85e94b7f2e4eb5221c55cdebeadb3ab219ea5577c7336b9230532f217f78a98e	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_50_隆基绿能
